Title,Author,First Published,Publisher,ISBN,Language,Pages,Subjects,Avg Rating,Rating Count,Want to Read,Reading Now,Already Read
Ficciones,Jorge Luis Borges,1945,"Emecé Editores, A.A. Knopf",9780802190734,"fre, spa, por, eng, ita",196,"Anachronisms, speculative fiction, subjective idealism",4.3421054,38,349,20,66
Great Sf Heinlein Bxs,Robert A. Heinlein,1980,Berkley,9780425052167,eng,,"Hugo Award Winner, award:hugo_award=1962, award:hugo_award=novel",3.6470587,68,319,12,95
The Science Fiction Hall of Fame -- Volume One,"Robert Silverberg, Robert A. Heinlein, Arthur C. Clarke, Isaac Asimov, Ray Bradbury",1970,"Avon, Orion Publishing Group, Limited",0722178298,eng,558,"Science fiction, American Science fiction, English Science fiction",4.5,6,107,8,11
Wild seed,Octavia E. Butler,1980,"Open Road Integrated Media, Inc., Doubleday",0575048190,eng,279,"Fiction in English, Fiction, Sex role",4.5454545,11,91,6,20
Smoke and Mirrors,"Neil Gaiman, Richard Chizmar, William Peter Blatty, Kealan Patrick Burke, Brian Keene, Joe Hill, Joe R. Lansdale, Ray Garton",1998,"Headline Publishing Group, Avon Books",9788498388046,"eng, spa",360,"Fantasy, Fiction, Fiction, general",3.75,16,87,0,27
Trigger Warning,Neil Gaiman,2001,"MAG, Salamandra",0062449311,eng,352,"Short stories, Death, Vulnerability (Personality trait)",4.0,15,90,2,23
An introduction to fiction,"Stanton, Robert, R Stanton, R. Stanton, Robert Stanton",1965,"Holt, Rinehart and Winston, Thomson Learning",003920202X,eng,90,"History and criticism, Fiction, Study and teaching",,,88,3,2
Cryptonomicon,Neal Stephenson,1999,"Audible Studios on Brilliance, Avon Press",9780060575489,"fre, spa, eng, ger",864,"Fiction, World War, 1939-1945, World War, 1939-1945 in fiction",4.5151515,33,133,11,52
Hothouse,"Brian W. Aldiss, Brian W. Aldiss",1962,"Faber and Faber, VGSF",0575047356,"pol, eng",253,"evolution, Fiction in English, devolution",4.0,3,47,0,15
Writing Fiction,"Janet Burroway, Susan Weinberg, Elizabeth Stuckey-French, Ned Stuckey-French",1982,"The University of Chicago Press, Longman Higher Education",0316117706,eng,397,"Technique, Fiction, Creative writing",,,60,6,1
The Things They Carried,Tim O'Brien,1990,"Brilliance Audio, Sudamericana",0547420293,"spa, jpn, fre, eng",256,"Reading Level-Grade 9, Reading Level-Grade 11, Reading Level-Grade 10",4.3333335,39,285,20,70
To your scattered bodies go,Philip José Farmer,1971,"SFBC Science Fiction, Panther",9780425050262,"eng, spa",221,"Hugo Award Winner, Fiction in English, award:hugo_award=novel",3.5652175,23,66,1,41
Slan,"A. E. van Vogt, Oliver Wyman, Kevin J. Anderson",1946,"Dell Publishing, Weidenfeld and Nicolson",9780792748946,"eng, spa",191,"Fiction, Science Fiction, Fiction, science fiction, general",3.4,5,45,4,13
The Sympathizer,"Viet Thanh Nguyen, Francois Chau",2015,"Audible Studios on Brilliance, Little, Brown Book Group Limited",9781336217560,eng,384,"Communists, Soldiers, Vietnam War, 1961-1975",4.1,20,123,4,34
Collected Fictions,Jorge Luis Borges,1998,"Penguin, Allen Lane",0142428086,eng,571,"Fiction (fictional works by one author), Borges, jorge luis, 1899-1986, Latin american literature, translations into english",4.3333335,3,25,1,5
Foundation,Isaac Asimov,1951,"Doubleday Bantam, Doubleday Books",8576574837,"ger, eng, kor, spa, chi, ita, por, rus, fre",240,"Psychohistory, Open Library Staff Picks, Life on other planets",4.1070232,299,1385,94,453
The Overstory,"Richard Powers, Richard Powers",2018,"Cengage Gale, CHERCHE MIDI",8491814442,eng,531,"trees, forest, conservation",4.185185,27,213,1,50
How to Write Best-Selling Fiction,Dean Koontz,1981,"Poplar Press, Writer's Digest Books",9780907657002,eng,309,"Authorship, Fiction",5.0,2,54,3,3
What if?,"Anne Bernays, Pamela Painter",1990,"Harper, Longman",9780062700384,eng,256,"Problems, exercises, Rhetoric, Creative writing",,,86,1,1
Funhouse,"Diane Hoh, Karyn O'Bryant",1990,"Heritage, Audible Studios on Brilliance",0590637398,"eng, fre, spa",163,"Mystery and detective stories, Children's poetry, American, Juvenile Riddles",3.0,3,64,0,13
Fragile Things,Neil Gaiman,2006,"AST, HarperAudio",8496791858,"eng, pol, fre, rus, heb",400,"Mystery, Short stories, Fiction",3.75,8,109,6,15
The craft of fiction,"Percy Lubbock, Percy, Lubbock, Percy Lubbock",1921,"Franklin Classics, C. Scribner's Sons",9781015409163,eng,276,"Fiction, Technique, History and criticism",,,13,0,0
The Power,Naomi Alderman,1998,"Roca, Little, Brown and Company",8416859213,"eng, ita",352,"Rol sexual, Fuerza muscular, Ability",3.775,40,128,1,52
Gold,Isaac Asimov,1995,"Sarmal Yayinevi, HarperCollins",9780061054099,"kor, tur, eng, und",368,"American Science fiction, Authorship, Fiction",3.0,3,34,2,7
Leviathan,Paul Auster,1992,"Büchergilde Gutenberg, Viking Penguin Inc",9788433906342,"ger, eng, spa, kor",275,"Fiction, science fiction, general, Littérature américaine, Traductions françaises",3.3333333,6,32,3,10
Azadi,Arundhati Roy,2020,"Blackstone Pub, penguin",0143460161,eng,256,"Asia, history, Intellectual life, Hindutva",5.0,2,31,0,5
The Foundation Trilogy,Isaac Asimov,1950,"Editora Aleph, Editions Gallimard",0563410221,"ger, eng, spa, por, dut, rus",605,"American Science fiction, Fiction, Psychohistory",4.1904764,63,436,36,94
Frenzied fiction,Stephen Leacock,1917,"Renard Press Ltd., Capital Communications, Incorporated",9781374881082,eng,162,"Canadian Humorous stories, Satire and humour, Canadian (English), CIHM, Satire et humeur canadiennes-anglaises, ICMH",5.0,1,3,0,0
El tesoro di Rapa Nui,Elisabetta Dami,2004,"Scholastic.com, Scholastic",0545747422,"eng, ita",128,"Juvenile fiction, Mice, Children's fiction",4.8125,16,69,2,21
Children's fiction in the hands of the translators,"Göte Klingberg, Otto Klinberg",1986,"Me, CWK Gleerup",9140051722,eng,90,"Books and reading, Translating and interpreting, History and criticism",5.0,1,92,4,2
100 Great Science Fiction Short Short Stories,"Isaac Asimov, Martin H. Greenberg, Joseph D. Olander, Cyril M. Kornbluth, Larry Niven, Charles E. Fritch, Bill Pronzini, George R. R. Martin, Jerome Bixby, Ambrose Bierce, Edward D. Hoch, Alexei Panshin, Martin Gardner, Steven Utley, Gregory Benford, Richard Wilson, Robert Sheckley, Roger Zelazny, Damon Knight, Reginald Bretnor, Frederik Pohl, Laurence M. Janifer, James Blish, Joanna Russ, Ray Russell, Edward Wellen, Donald E. Westlake, Ben Bova, Barry N. Malzberg, Fred Saberhagen, Fritz Leiber, Karen Anderson, Bob Shaw, William F. Nolan, Henry Slesar, Dannie Plachta, Edward Rager, Hayford Peirce, Jeffrey S. Hudson, Walter S. Tevis, James Edward Sutherland, Joe L. Hensley, Duane Ackerson, Stephen Goldin, Robert Emmett Toomey Jr., Alfred Bester, Anthony Boucher, Nelson Slade Bond, F. M. Busby, Maggie Nadler, Grant Carrington, Keith Laumer, E. Michael Blake, James E. Gunn, Paul Dellinger, Lee Killough, Thomas F. Monteleone, Robert T. Kurosaka, James E. Thompson, Robert L. Fish, Bruce McAllister, Paul Bond, Mildred Downey Broxon, Alan Edward Nourse, David Bischoff, Ralph Milne Farley, Daniel A. Darlington, Walt Liebscher, K. W. MacAnn",1978,"Pan Books, Avon",0380507331,eng,271,"American Science fiction, English Science fiction, Science fiction",4.0,1,43,3,4
Blood Music,Greg Bear,1985,"Open Road Integrated Media, Inc., Open Road Media Sci-Fi & Fantasy",1497607434,eng,272,"Fiction, Science Fiction, Holistic nursing",3.9333334,15,56,3,32
Earthlight,Arthur C. Clarke,1955,"Pan Bks., Ballentine Books",0345306325,eng,160,"Science fiction, Fiction, science fiction, general, English Science fiction",3.8,5,10,1,10
The language of the night,Ursula K. Le Guin,1979,"Berkley Pub. Corp., Berkley Books",9780060168353,eng,260,"History and criticism, Fantasy fiction, Science fiction",4.0,2,87,4,4
Nightwings,"Robert Silverberg, Michael Netzer",1969,"Open Road Integrated Media, Inc., Futura",9781591760108,eng,190,"Fiction in English, Fiction, Science Fiction & Fantasy",4.0,4,28,0,6
Deathworld 1,"Harry Harrison, Christian Rummel",1960,"Vintage Sci-Fi Classics, Audible Studios on Brilliance Audio",9798455258251,eng,157,"Fiction, science fiction, general, Life on other planets in fiction, Life on other planets",3.5833333,12,26,2,21
Galapagos,"Kurt Vonnegut, Kurt Vonnegut, Chaim Tadmon",1820,"Delacorte Press / Seymour Lawrence, Caminho",9781501277054,"spa, eng, ita, tur, heb, fre, ger",295,"American Science fiction, Fiction, Ghost stories",3.875,24,87,5,46
Killer fiction,G. J. Schaefer,1997,Feral House,9781936239191,eng,291,"Serial murders, True Crime, Prisoners",5.0,1,37,1,1
Stranger Than Fiction,Chuck Palahniuk,2004,"Debolsillo, Penguin Random House Grupo Editorial",0385722222,"spa, eng",256,"Literary Criticism, Nonfiction, Jews",3.0,2,16,0,5
Bagombo Snuff Box,Kurt Vonnegut,1999,"G.P. Putnam's Sons, Vintage",9780099282969,eng,295,"Social life and customs, Fiction, United states, social life and customs, fiction",3.0,5,19,0,10
The rhetoric of fiction,Wayne C. Booth,1961,"University of Chicago Press, Penguin",0226065588,eng,552,"Esthétique, Rhetoric, Technique",,,25,1,1
Men of Iron,Howard Pyle,1891,"Arc Manor, New West Press",9781722325152,eng,272,"Juvenile fiction, History, Knights and knighthood",,,27,0,1
The fabulous riverboat,Philip José Farmer,1971,"Panther, Gregg Press",9780425037935,eng,253,"Fiction in English, Fictionin English, Riverworld (imaginary place), fiction",3.4545455,11,6,0,16
Science fiction,Patrick Parrinder,1979,"Taylor & Francis Group, Longman",1003163297,eng,242,"Science fiction, History and criticism, Science fiction, history and criticism",,,14,0,0
Excession,Iain Banks,1996,"Bantam Books, Le Livre de Poche",2253072419,"spa, fre, eng, ger",460,"Science fiction, Fiction, Long Now Manual for Civilization",4.0185184,54,74,4,76
Navigator Fiction and Non Fiction,,2002,Rigby Educational Publishers,9780433064749,,,"English language reading schemes, For National Curriculum Key Stage 2, English language",,,23,5,2
How to Write Science Fiction & Fantasy,Orson Scott Card,1990,"Writer's Digest Books, F & W Pubns Inc",9781582971032,eng,140,"Authorship, Science fiction, Fantasy literature",4.0,3,35,0,4
Axiomatic,Greg Egan,1995,"Orion Books Ltd., Belial'",9780752816500,eng,376,"Fiction, general, Fiction, science fiction, short stories, Australian Science fiction",4.142857,7,35,2,8
Pulp fiction,Quentin Tarantino,1993,"Hollywood Scripts, Faber",9780571175468,"eng, fre",160,"Motion picture plays, Pulp fiction (Motion picture), Drama",,,15,0,1
"Literature--An Introduction to Fiction, Poetry, Drama and Writing--Eleventh Edition","Kennedy, X. & Gioia, D., Dana Gioia, Chinua Achebe, Margaret Atwood, Jane Austen, Jorge Luis Borges, Anthony Burgess, Albert Camus, Lewis Carroll, Антон Павлович Чехов, Kate Chopin, Ambrose Bierce, Charles Dickens, X. J. Kennedy",2006,"Pearson Education, Limited, Longman",1292120827,eng,2137,"freedom, selfhood, self-fulfilment",4.5,2,46,3,1
Invisible Planets,Ken Liu,2016,"Head of Zeus, Head Of Zeus",1786692783,eng,384,"Short stories, chinese, Science fiction, Speculative fiction, Chinese -- Translations into English",4.0,4,38,0,5
Fiction Writer's Workshop,Josip Novakovich,1995,"Story Press, Writer's Digest Books",1884910394,eng,250,"Problems, exercises, Technique, Fiction",,,30,1,0
How to analyze fiction,W. P. Kenney,1966,Distributed by Monarch Press,,eng,111,"Study guides, Examinations, Fiction",5.0,1,31,1,3
Expedition to Earth,Arthur C. Clarke,1953,"Pan Books, Corgi",0345328248,eng,174,"Breaking Strain, Loophole, Inheritance",3.0,1,18,1,7
Mockingbird,Walter S. Tevis,1979,"Ballantine Pub. Group, Orion Publishing Group, Limited",9780340251935,eng,276,"End of the world, Fiction, Fiction, general",4.2,5,31,1,11
Ringworld,Larry Niven,1970,"Sphere Books Ltd, LÃ1/4bbe, Berg.-Gladb.",9780345247957,"spa, eng, ger, fre",336,"Hugo Award Winner, award:hugo_award=1971, award:hugo_award=novel",3.8247423,97,261,12,140
Understanding fiction,"Cleanth Brooks, Robert Penn Warren, Ambrose Bierce, Charles Dickens, Антон Павлович Чехов",1943,"F. S. Crofts & company, F. S. Crofts",,eng,608,"History and criticism, Short stories, Fiction",1.0,1,15,1,1
The Wesleyan anthology of science fiction,Arthur B. Evans,2010,Wesleyan University Press,9780819569554,eng,767,"American Science fiction, English Science fiction",5.0,2,36,3,2
Survivor,Octavia E. Butler,1978,"Lulu Press, Inc., Signet",9781312600843,eng,187,"Fiction, general, Fiction, science fiction, general, Science fiction",,,16,0,2
We're All Puppets 2020,Non Fiction,2019,"Independently published, Independently Published",9781794054530,eng,86,,,,18,2,0
Pricksongs and Descants,Robert Coover,1969,"Minerva, New American Library",9780330234450,eng,256,"Fiction, short stories (single author), Fiction, general, Manners and customs",,,26,2,2
The Norton Anthology of Short Fiction--Shorter Eighth Edition,"Richard Bausch, R. V. Cassill, Margaret Atwood, Ambrose Bierce, Jorge Luis Borges, Антон Павлович Чехов, Kate Chopin",2015,W. W. Norton & Company,0393937763,eng,996,"Fiction, History, Classic Literature",,,68,1,0
The Illustrated Man,Ray Bradbury,1951,"Booket, Panther Books",9788445077580,"dut, ger, eng, pol, spa",251,"American Science fiction, Science fiction, English Short stories",4.1025643,39,276,6,58
Literacy World Fiction,Judy Waite,1998,Heinemann Educational Books - Primary Division,9780435093075,,,"English language readers, Fiction, For National Curriculum Key Stage 2",4.0,4,33,7,1
PM Fiction Plus,"Randell, Beverley",1999,"Nelson Thornes Ltd, Thomas Nelson Australia",0170096564,,,"Seashore animals, Juvenile fiction, Seashore plants",,,5,0,0
Women and Fiction,"Susan Cahill, Kate Chopin, CAHILL, Susan, edited by, Susan (edited by) Cahill",1975,"New American Library / A Mentor Book, Signet",9780451618580,eng,379,"Women authors, Biography, Women in literature",4.0,2,10,1,2
Who Goes There?,"John W. Campbell, William F. Nolan",1948,"Shasta Publishers, Hyperion Press Incorporated of Westport, CT",9780883553657,eng,230,"American Science fiction, Fiction, Horror",3.75,4,33,1,8
Understanding fiction -- Second Edition,"Cleanth Brooks, Robert Penn Warren, Francis Parkman, Christopher Sykes, Mark Twain, Peter Quennell, Hanson Weightman Baldwin, Rudyard Kipling, James Thurber, Shirley Jackson, Irwin Shaw, O. Henry, John Collier, Guy de Maupassant, Ambrose Bierce, Eudora Welty, Ray Bradbury, Ring Lardner, Isaac Babel, Luigi Pirandello, Stephen Crane, Bret Harte, James Joyce, Frank O'Connor, Антон Павлович Чехов, D. H. Lawrence, James Purdy - undifferentiated, Caroline Gordon, Mary Mc Carthy, Carson McCullers, Honoré de Balzac, Jesse Stuart, Ernest Hemingway, Katherine Mansfield, Sherwood Anderson, Albert Camus, William Faulkner, Flannery O'Connor, Franz Kafka, William Sansom, Colette, Saul Bellow, Dylan Thomas, Thomas Wolfe, F. Scott Fitzgerald, Truman Capote, Angus Wilson, Isak Dinesen, Joseph Conrad, Dino Buzzati, Marcel Aymé, Thomas Mann, John Cheever, Katherine Anne Porter",1959,Appleton-Century-Crofts,,eng,688,"History and criticism, Short stories, Fiction",,,12,0,1
The Underground Railroad,Colson Whitehead,2000,"Atlas Contact, Alfaguara Portugal",2226393196,"spa, ita, kor, ger, jpn, eng",378,"FICTION / African American / General, History, Underground Railroad",3.98,50,165,5,64
Linden Hills,Gloria Naylor,1985,"Ticknor & Fields, Methuen Publishing Ltd",1417702923,eng,304,"African American families, African Americans, Fiction",5.0,1,24,1,2
"Detransition, Baby",Torrey Peters,2021,"Random House Publishing Group, One World",9780593133385,eng,352,"Fiction, women, Transgender women, Fiction",3.7142856,7,54,2,16
"The Best from Fantasy and Science Fiction (series, needs splitting)",Edward L. Ferman,1973,"Ace Books, St Martins Pr",9997376242,eng,326,"Science fiction, Fantasy fiction, American Science fiction",,,16,2,0
How fiction works,James Wood,2008,"Picador, Farrar, Straus and Giroux",9780312428471,eng,274,"Fiction, Authorship, Technique",4.0,4,12,0,4
An introduction to literature,Sylvan Barnet,1977,"Little, Brown",,eng,1092,Literature -- Collections.,3.7142856,7,13,2,21
Narrative fiction,Shlomith Rimmon-Kenan,1983,"Routledge, Taylor & Francis Group",9780415280228,eng,192,"Narration (Rhetoric), Literary Criticism, Nonfiction",,,8,1,0
Documentary,Erik Barnouw,1974,"Oxford University Press, Oxford University Press, USA",9780195033014,eng,351,"Documentary films, History and criticism, Moving-pictures, Documentary",,,36,5,0
"Fact, fiction and forecast",Nelson Goodman,1954,"Athlone Press, University of London",9780672518898,eng,128,"Addresses, essays, lectures, Conditionals (Logic), Forecasting",,,6,1,1
Three Genres,Stephen Minot,1965,"Pearson Education, Limited, Prentice Hall PTR",9780205012756,eng,420,"Technique, Poetics, Fiction",4.0,2,37,0,4
Neuromancer,William Gibson,1984,"Tandem Library, Gollancz",9788758804118,"spa, nor, ger, por, dan, fre, dut, chi, eng, ita, fin",317,"Information superhighway, Computer hackers, Conspiracies",4.0641026,78,777,51,163
The Longman anthology of detective fiction,"Deane Mansfield-Kelley, Lois A. Marchino",2005,Pearson/Longman,0321195019,eng,482,"American Detective and mystery stories, English Detective and mystery stories, Popular literature",,,58,2,1
The Forever War,Joe Haldeman,1974,"J'AI LU, Dargaud",3453304675,"por, fre, eng, spa, ger",272,"Aging, Hugo Award Winner, Fiction in English",4.101124,89,209,5,120
How to Analyze Fiction,William Kenney,1975,"Monarch Press, Macmillan Publishing Company",9780671187460,eng,111,"Fiction, Technique, Fiction, history and criticism",5.0,2,36,2,2
The Big Book of Science Fiction,"Ann VanderMeer, Jeff VanderMeer",2016,"Vintage, Vintage Crime/Black Lizard",1101910097,eng,1198,"Science fiction, Anthhology, Anthologies (multiple authors)",3.0,1,49,3,0
Youth,Isaac Asimov,2010,"CreateSpace Independent Publishing Platform, Spastic Cat Press",9798750880348,eng,58,"Fiction, science fiction, general",,,12,0,0
How to live safely in a science fictional universe,Charles Yu,2010,Pantheon Books,0307379205,eng,,"Time travel, Fathers and sons, Space and time",2.7777777,9,23,0,13
Fiction 100,James H. Pickering,1978,"Pearson Custom Pub, Macmillan Publishing Company",0536318115,eng,1456,"Short stories, Anthologies, English textbooks",,,10,1,0
Lord of Light,Roger Zelazny,1967,"Ein Heyne Buch, Doubleday & Co.",9780739416884,"fre, spa, ger, eng",280,"Fiction, Hindu Gods, Hugo Award Winner",3.6774194,31,133,4,48
Rite of Passage,Alexei Panshin,1968,"Science Fiction Book Club by arrangement with Sidgwick & Jackson, Science Fiction Book Club",0671440683,eng,254,"American Science fiction, Fiction, Science Fiction",2.3333333,3,22,0,8
Ubik,Philip K. Dick,1969,"Knopf Doubleday Publishing Group, Ulverscroft Ltd",9783518369401,"cmn, pol, fre, eng, gre, spa, ger, por, ita",224,"Fiction, Death, Businessmen",3.9452055,73,207,9,102
Pocket Gde to Sketching Lb,Non-Fiction,1986,"Collins, HarperCollins Publishers",9780004119915,,136,Drawing,,,13,1,0
Quarantine,Greg Egan,1992,"Century Pub. Co., Skyhorse Publishing Company, Incorporated",1597805386,"eng, ger",272,"Fiction, science fiction, general, Private investigators, fiction, Australian Science fiction",3.5454545,11,28,1,13
The Science Fiction Hall of Fame -- Volume Two A,"Ben Bova, H. G. Wells, Poul Anderson, John W. Campbell, Lester del Rey, Robert A. Heinlein, Cyril M. Kornbluth, Henry Kuttner, C. L. Moore, Eric Frank Russell, Cordwainer Smith, Theodore Sturgeon, Jack Williamson, Others, Michael David Axtell, L J Ganser, Chris Andrew Ciulla, Mark Boyett, Graham Halstead, Oliver Wyman, Cary Hite, Josh Hurley, Tim Gerard Reynolds, Clark, Roger, Fred Berman",1973,"Tor, Tor Books",1538439808,eng,558,"Science fiction, american, Science fiction, english, Science fiction",4.0,2,14,1,3
Midworld,Alan Dean Foster,1975,"Open Road Integrated Media, Inc., Heyne",0708880096,"eng, ger",213,"Humanx Commonwealth (Imaginary organization), Fiction, Fiction in English",3.5,2,23,0,7
Pack up and sketch,"Tom Robb, Non-Fiction",1986,"A.A. Knopf, HarperCollins Publishers",9780004121277,eng,64,"Technique, Drawing, Drawing & drawings",,,21,2,2
One crazy summer,Rita Williams-Garcia,2010,"Recorded Books, Amistad",9781432860332,eng,221,"Fiction, Juvenile Fiction, Poets",3.9473684,19,220,25,16
New sudden fiction,"Robert Shapard, Thomas, James",2007,"W. W. Norton, W.W. Norton",0393328015,eng,320,"American Short stories, Translations into English, Short stories",,,27,3,2
Driftglass,Samuel R. Delany,1971,"Roc, Penguin Books, Limited",0451144244,eng,278,"American Science fiction, English Short stories, Fiction, general",,,15,0,1
Neil Gaiman Reader,Neil Gaiman,2020,"Headline Publishing Group, Headline",0063031876,eng,752,"Fiction, magical realism, Fiction, short stories (single author), English Fantasy fiction",3.0,1,19,0,3
Pebble in the Sky,Isaac Asimov,1950,"Fawcett, Heyne Verlag",2290312975,"ger, eng, ita, por, chi, fre",223,"Fiction in English, American Science fiction, Science fiction",4.1153846,26,138,6,67
Asimov on science fiction [55 essays],Isaac Asimov,1981,"Avon Books, Sudamericana",9789500716253,"eng, spa",334,"Science fiction, History and criticism, Science fiction, history and criticism",3.0,1,11,1,2
Postmodernist fiction,Brian McHale,1987,"Taylor & Francis Inc, Taylor & Francis Group",0415045134,eng,288,"Fiction, History and criticism, Literary Criticism",5.0,1,6,0,1
Political fictions,Joan Didion,2001,"A.A. Knopf, Vintage International",9780375413384,eng,338,"Politics and government, Political culture, Regierung",3.0,1,8,0,3
The essential Clive Barker,Clive Barker,1999,"HarperCollinsPublishers, HarperCollins Publishers",0002247259,eng,592,"English Fantasy literature, English Horror tales, Fiction, horror",,,19,1,1
Science Fiction. The Great Years,"Carol Pohl, Frederik Pohl, Eric Frank Russell, William Tenn, Raymond Z. Gallun, Fredric Brown, James MacCreigh, Cyril M. Kornbluth, H. L. Gold",1973,"Penguin Publishing Group, Ace .",9780722169247,eng,319,"American Science fiction, Science fiction, Science fiction, american",,,7,1,3
Science Fiction Hall of Fame--Volume Two B,"Ben Bova, Isaac Asimov, James Blish, Algis Budrys, Theodore Cogswell, E. M. Forster, Frederik Pohl, James H. Schmitz, T. L. Sherred, Wilmar H. Shiras, Clifford D. Simak, Jack Vance, James H. Schmitz, T. L. Sherred",1973,"Avon Books, Orion Publishing Group, Limited",0575017384,eng,527,"Science fiction, Science fiction, american, Science fiction, english",4.0,1,7,1,4
Making Shapely Fiction,Jerome Stern,1991,"Norton & Company, Incorporated, W. W., Norton",9780393029291,eng,288,"Authorship, Fiction, English language, composition and exercises",3.0,2,11,0,1
Isaac Asimov's Masters of Science Fiction,"George H. Scithers, Isaac Asimov, John Varley, Arthur C. Clarke, Larry Niven, Martin Gardner, Paula Smith, D. R. Bensen, Sally A. Sellers, Cam Thornley, Jack Williamson, Steve Perry, Jack C. Haldeman, Garry R. Osgood, Donald Gaither, Dean McLaughlin, Ted Reynolds, Nancy Kress, Reginald Bretnor, Brian W. Aldiss, Randall Garrett, Barry N. Malzberg, Michael Tennenbaum, Kevin O'Donnell, Jr, Jack L. Chalker",1978,"Davis Publications, DoubleDay",9780884115854,eng,288,"American Science fiction, English Science fiction",3.0,1,9,1,3
Earth is Room Enough,Isaac Asimov,1957,"Panther, Wilhelm Heyne Verlag",9780449014011,"eng, spa, ger",184,"American Science fiction, Short stories, anthology",5.0,2,35,2,8
Lost in the funhouse,John Barth,1968,"Bantam Books, Penguin",0385240872,eng,201,"Fiction, general, Manners and customs, Fiction",3.5,4,11,0,7
Consider Phlebas,Iain Banks,1987,"Little, Brown Book Group Limited, Spectra",9780333454305,"fre, eng, spa, ger, tur, kor",471,"Fiction, Imaginary wars and battles, OverDrive",3.57,100,265,11,136
The Norton Book of Science Fiction,"Ursula K. Le Guin, Brian Attebery, Brian Attebery, Karen Joy Fowler, Orson Scott Card, Margaret Atwood",1993,"R.S. Means Company, W.W. Norton",9780393965438,eng,869,"Science fiction, American, American Science fiction, Fiction, science fiction, general",,,14,1,0
The passion,Jeanette Winterson,1987,"Sel Yayincilik, Periscopi",9788426402721,"spa, eng, dut, cat, rus, tur, fre, ger",176,"Napoleonic wars, 1800-1815, fiction, Man-woman relationships, fiction, Fiction, romance, historical, general",4.5454545,11,50,2,14
Six suspects,Vikas Swarup,2008,"Doubleday, Transworld Publishers Limited",0385608152,eng,470,"Rich people, Mystery, Crimes against",4.0,3,24,0,4
Beasts and Super-Beasts Illustrated,Hugh Munro,2020,Independently Published,9798708345738,eng,236,,,,11,0,1
Short Fiction,Ray Bradbury,2021,Standard Ebooks,,eng,,"Science fiction--Periodicals, Zines, Science fiction",,,24,0,0
Secret Societies (Fact or Fiction),Stewart Ross,1996,"Copper Beech Books, Copper Beech",9780761330233,eng,48,"Secret societies, Juvenile literature, History",,,11,0,1
Triton,Samuel R. Delany,1976,"Grafton, Collins",9789753422895,"eng, heb, fre",369,"Fiction in English, Fiction, science fiction, general, Science fiction",,,14,1,2
Wonderbook: The Illustrated Guide to Creating Imaginative Fiction,"Jeff VanderMeer, Ryan Burke, Tanya Eby, Adam Verner",2013,"Abrams Image, Alfa",6051713093,"eng, tur",384,"Rhetoric, Literature, Study and teaching",4.0,2,28,1,3
Science Fiction Bestiary,Robert Silverberg,1971,"Dell Publishing, Ultramar",8473864220,"eng, spa",251,"Cuentos de ciencia ficcio n norteamericanos, Cuentos de ciencia ficción norteamericanos, American Science fiction",,,12,0,1
Science Fiction,"Patricia S. Warrick, Charles Waugh, Martin H. Greenberg, Isaac Asimov, Ray Bradbury",1988,"Harper & Row, Longman",0060469412,eng,522,"American Science fiction, English Science fiction, Science fiction",,,12,0,1
Macho sluts,"Patrick Califia, Wendy Chapkis",1988,"Alyson Publications, Arsenal Pulp Press",1551523523,eng,336,"American Erotic stories, Erotic stories, American, Fiction",,,23,1,3
Stone Cold (Puffin Teenage Fiction),Robert Swindells,1995,"Puffin Books, Heinemann Educational Publishers",9780141368993,,144,"London (england), fiction, Homelessness, fiction, Children's fiction",,,52,5,3
Metafiction,Patricia Waugh,1984,"Routledge, Methuen",9780415030069,eng,181,"History and criticism, Fiction, Technique",,,22,1,0
Stranger in a Strange Land,Robert A. Heinlein,1961,"Berkley Publishing Corporation, Verlag Das Beste",9780786109524,"swe, fre, eng, spa, ger, heb",438,"Hugo Award Winner, award:hugo_award=1962, award:hugo_award=novel",4.5,4,123,11,28
Nemesis,Philip Roth,2010,"Vintage, Brilliance Audio",9788499894416,"por, ita, eng",280,"Poliomyelitis, Playgrounds, Fiction",3.75,4,19,2,3
Writing fiction for dummies,Randy Ingermanson,2009,"Wiley & Sons, Incorporated, John, Wiley & Sons, Limited, John",1119652863,eng,400,"Authorship, Technique, Creative writing",4.0,1,11,0,1
An introduction to fiction,"X. J. Kennedy, Dana Gioia",1987,"HarperCollins, Little, Brown and Company",0321209400,eng,636,"Collections, Fiction, Fiction, collections",,,9,2,0
"Science fiction, science fact",Isaac Asimov,1989,"G. Stevens, Dell Yearling Nonfiction",1555323235,eng,32,"Juvenile literature, Science fiction, Forecasting",,,15,1,0
A passion for narrative,Jack Hodgins,1993,"McClelland & Stewart, McCelland & Stewart",0312110421,eng,298,"Fiction, Technique, Narration (Rhetoric)",,,36,2,0
The writing of fiction,Edith Wharton,1925,"Charles Scribner's Sons, Octagon Books",0374983984,eng,178,"Technique, Authorship, Fiction",,,10,1,0
Science Fiction,Adam Roberts,2000,"Routledge, Taylor & Francis Group",9780203019368,eng,186,"Science fiction, Authorship, Science fiction, history and criticism",,,5,0,1
Dracula,Bram Stoker,1897,"ReadZone, Brand: CreateSpace Independent Publishing Platform",9781501257650,"ger, glg, eng, tur, pol, spa, rus, chi, ita, cat, por, dut, gle, alb, fre, hun",408,"English literature, Fiction, Horror",4.0430107,186,1854,182,375
